epoch,categorical_accuracy,loss,lr,val_categorical_accuracy,val_loss
0,0.5907309055328369,1.963489294052124,3.2e-05,0.5,1.8141921758651733
1,0.60179203748703,0.7278212904930115,3.2e-05,0.5452330708503723,0.8109964728355408
2,0.6035575270652771,0.65595543384552,3.2e-05,0.62563556432724,0.9403247833251953
3,0.6044403314590454,0.647498607635498,3.2e-05,0.5038841962814331,0.8453431129455566
4,0.612561821937561,0.6312423944473267,3.2e-05,0.5957273840904236,0.6572273969650269
5,0.6209039688110352,0.6222832202911377,3.2e-05,0.6933968663215637,0.5573902726173401
6,0.6546521782875061,0.5937240719795227,3.2e-05,0.707980215549469,0.5587736368179321
7,0.7156956195831299,0.5281355977058411,3.2e-05,0.704555094242096,0.603905200958252
8,0.7407750487327576,0.49777752161026,3.2e-05,0.7565324902534485,0.476683646440506
9,0.7552965879440308,0.4788951575756073,3.2e-05,0.7669844627380371,0.4677892029285431
10,0.7691560983657837,0.45974206924438477,3.2e-05,0.782944917678833,0.4536273181438446
11,0.7777189016342163,0.4493374824523926,3.2e-05,0.7929731607437134,0.43545472621917725
12,0.7837393879890442,0.43867388367652893,3.2e-05,0.7598516941070557,0.4759732186794281
13,0.7915518879890442,0.42843469977378845,3.2e-05,0.7819209098815918,0.4737357497215271
14,0.800061821937561,0.4160202443599701,3.2e-05,0.6604166626930237,0.541126012802124
15,0.8229961395263672,0.3806696832180023,1.6e-05,0.7199152708053589,0.571606457233429
16,0.8390007019042969,0.35581305623054504,1.6e-05,0.7298375964164734,0.6170008182525635
17,0.855120062828064,0.32879045605659485,1.6e-05,0.7820268273353577,0.503593921661377
18,0.8848958611488342,0.27584585547447205,8e-06,0.6764830350875854,0.770668089389801
19,0.9033986330032349,0.2410397082567215,8e-06,0.7786017060279846,0.7516382336616516
20,0.9199417233467102,0.20612020790576935,8e-06,0.777224600315094,0.7770634293556213
21,0.9423375725746155,0.15819673240184784,4e-06,0.744879961013794,0.881138026714325
