epoch,categorical_accuracy,loss,lr,val_categorical_accuracy,val_loss
0,0.8036458492279053,0.46748456358909607,0.001,0.5,5.65039587020874
1,0.8570126295089722,0.35265034437179565,0.001,0.833184540271759,0.39410680532455444
2,0.8653832077980042,0.32565608620643616,0.001,0.5,1.2181774377822876
3,0.876153290271759,0.30520570278167725,0.001,0.8320684432983398,0.393263578414917
4,0.8818824291229248,0.2924382984638214,0.001,0.847842276096344,0.35512155294418335
5,0.8827939033508301,0.2860507667064667,0.001,0.8630208373069763,0.3272361159324646
6,0.8873884081840515,0.2787637412548065,0.001,0.8293154835700989,0.3773999512195587
7,0.888857901096344,0.27466222643852234,0.001,0.8530505895614624,0.3408237397670746
8,0.8903645873069763,0.27266475558280945,0.001,0.8721725940704346,0.3104664981365204
9,0.8908296227455139,0.26916831731796265,0.001,0.878125011920929,0.3051694333553314
10,0.8918712735176086,0.26713916659355164,0.001,0.874627947807312,0.30805090069770813
11,0.8934524059295654,0.2633708417415619,0.001,0.8739583492279053,0.309469610452652
12,0.8933221697807312,0.2647090554237366,0.001,0.8773809671401978,0.2997332215309143
13,0.8946986794471741,0.26191824674606323,0.001,0.8491071462631226,0.3669128119945526
14,0.8954613208770752,0.25904208421707153,0.001,0.8554315567016602,0.34200358390808105
15,0.8962425589561462,0.25707730650901794,0.001,0.8804315328598022,0.301146924495697
16,0.9005208611488342,0.24897345900535583,0.0005,0.8742559552192688,0.30229315161705017
17,0.9008556604385376,0.24434302747249603,0.0005,0.8716517686843872,0.3108568489551544
18,0.9029762148857117,0.241864413022995,0.0005,0.8704612851142883,0.3135685622692108
19,0.9041852951049805,0.23653849959373474,0.00025,0.8774553537368774,0.29710936546325684
20,0.9066778421401978,0.23297235369682312,0.00025,0.8810268044471741,0.2913108170032501
21,0.90625,0.23139862716197968,0.00025,0.8793898820877075,0.29616838693618774
22,0.9073474407196045,0.2288772165775299,0.00025,0.8776785731315613,0.2992345988750458
23,0.9085007309913635,0.22788919508457184,0.00025,0.8766369223594666,0.303890585899353
24,0.9110119342803955,0.22125659883022308,0.000125,0.8791666626930237,0.29738831520080566
25,0.9111049175262451,0.21970850229263306,0.000125,0.8785714507102966,0.2997259199619293
26,0.9112723469734192,0.21880221366882324,0.000125,0.8726190328598022,0.30760806798934937
27,0.9135602712631226,0.21401503682136536,6.25e-05,0.879092276096344,0.3030646741390228
28,0.9145089387893677,0.2134314328432083,6.25e-05,0.8758184313774109,0.3056277930736542
29,0.9148995280265808,0.21190676093101501,6.25e-05,0.8749256134033203,0.3057481050491333
30,0.9159784317016602,0.2097080647945404,3.125e-05,0.8771577477455139,0.3050670325756073
