epoch,categorical_accuracy,loss,lr,val_categorical_accuracy,val_loss
0,0.685407817363739,0.6129977703094482,0.001,0.5,1.9540653228759766
1,0.7750706076622009,0.4693981409072876,0.001,0.8439618349075317,0.36496418714523315
2,0.7969720959663391,0.4352312386035919,0.001,0.7943856120109558,0.42426109313964844
3,0.8054996728897095,0.4188991189002991,0.001,0.6356285214424133,0.6401897072792053
4,0.8127560019493103,0.4085165858268738,0.001,0.8387711644172668,0.383109986782074
5,0.8226606845855713,0.3900924026966095,0.0005,0.8566030859947205,0.33475756645202637
6,0.8254502415657043,0.3843894600868225,0.0005,0.8554025292396545,0.3443540632724762
7,0.8281691670417786,0.38079598546028137,0.0005,0.8587217330932617,0.33756497502326965
8,0.8297228217124939,0.37790966033935547,0.0005,0.8286017179489136,0.37912994623184204
9,0.835275411605835,0.366960346698761,0.00025,0.848870038986206,0.3524899184703827
10,0.8381179571151733,0.3623780608177185,0.00025,0.8526836037635803,0.344961553812027
11,0.8403071761131287,0.35991549491882324,0.00025,0.8407486081123352,0.35911595821380615
12,0.8444827198982239,0.35081079602241516,0.000125,0.8411369919776917,0.3597065508365631
13,0.8451006412506104,0.3483909070491791,0.000125,0.8544491529464722,0.3413802981376648
14,0.846477746963501,0.3464110195636749,0.000125,0.8565325140953064,0.3379974067211151
15,0.8488965630531311,0.34090951085090637,6.25e-05,0.84311443567276,0.35455262660980225
