epoch,categorical_accuracy,loss,lr,val_categorical_accuracy,val_loss
0,0.6527083516120911,0.6890343427658081,0.001,0.5,14.642884254455566
1,0.7264583110809326,0.5787810683250427,0.001,0.5,6.343993186950684
2,0.7786458134651184,0.49502548575401306,0.001,0.49986112117767334,2.381103038787842
3,0.7983680367469788,0.4597884714603424,0.001,0.49916666746139526,2.8833835124969482
4,0.8113541603088379,0.43968573212623596,0.001,0.5,5.007291793823242
5,0.8142014145851135,0.4248591363430023,0.001,0.5,3.9710116386413574
6,0.8203125,0.4147622883319855,0.001,0.5,2.9355621337890625
7,0.8217708468437195,0.40818092226982117,0.001,0.5,2.3693885803222656
8,0.8292360901832581,0.3984358012676239,0.001,0.5,2.8314144611358643
9,0.831041693687439,0.3938497006893158,0.001,0.5,3.790295124053955
10,0.8340972065925598,0.3901243805885315,0.001,0.5,1.482698678970337
11,0.832569420337677,0.38877952098846436,0.001,0.5,3.6326746940612793
12,0.8366666436195374,0.38388770818710327,0.001,0.5,2.3443527221679688
13,0.8372916579246521,0.37685495615005493,0.001,0.5,2.275434732437134
14,0.8410763740539551,0.37393271923065186,0.001,0.5,1.742344856262207
15,0.843090295791626,0.36914312839508057,0.001,0.721666693687439,0.737125039100647
16,0.843784749507904,0.3681744635105133,0.001,0.5,1.151029348373413
17,0.8448958396911621,0.36486542224884033,0.001,0.5072222352027893,1.3559836149215698
18,0.8464930653572083,0.3615688979625702,0.001,0.6534722447395325,0.6451757550239563
19,0.8501041531562805,0.35473451018333435,0.001,0.7447222471237183,0.5286706686019897
20,0.8543402552604675,0.347866028547287,0.001,0.7322221994400024,0.6233765482902527
21,0.8539930582046509,0.3472224175930023,0.001,0.6390277743339539,0.6717038750648499
22,0.855555534362793,0.3449094891548157,0.001,0.5,2.365318536758423
23,0.8578819632530212,0.33820641040802,0.001,0.6854166388511658,0.7288191914558411
24,0.8597916960716248,0.33442533016204834,0.001,0.6106944680213928,0.7034803032875061
25,0.8711458444595337,0.3095220625400543,0.0005,0.6502777934074402,0.6697507500648499
26,0.8767014145851135,0.2989605963230133,0.0005,0.5736111402511597,1.005664348602295
27,0.8811110854148865,0.29103708267211914,0.0005,0.6420833468437195,0.8006321787834167
28,0.8878472447395325,0.2792295217514038,0.0005,0.6551389098167419,0.8363494873046875
29,0.8920485973358154,0.269241601228714,0.0005,0.6230555772781372,0.9999837279319763
