epoch,categorical_accuracy,loss,lr,val_categorical_accuracy,val_loss
0,0.7412246465682983,14.9666109085083,1e-05,0.614769697189331,8.264920234680176
1,0.7923669219017029,4.465608596801758,1e-05,0.8102197647094727,2.2971534729003906
2,0.8064709305763245,1.651120662689209,1e-05,0.8374419212341309,1.1693601608276367
3,0.8153365254402161,0.9949498772621155,1e-05,0.7824693322181702,0.9590308666229248
4,0.8205220699310303,0.7378931045532227,1e-05,0.8480771780014038,0.6258701682090759
5,0.8262622952461243,0.6087592244148254,1e-05,0.8560360670089722,0.5285272002220154
6,0.8290002942085266,0.5353667140007019,1e-05,0.7243273854255676,0.6844580173492432
7,0.8330325484275818,0.4904642701148987,1e-05,0.839484453201294,0.46167463064193726
8,0.8352159261703491,0.4587482213973999,1e-05,0.841280460357666,0.4727497696876526
9,0.8382973074913025,0.43564993143081665,1e-05,0.6045217514038086,0.794599711894989
10,0.8419157266616821,0.4172198474407196,1e-05,0.8378644585609436,0.42496001720428467
11,0.8453845381736755,0.401261568069458,1e-05,0.7289758920669556,0.552573561668396
12,0.8501034379005432,0.3875410854816437,1e-05,0.8481124043464661,0.41571563482284546
13,0.8552713990211487,0.3718390166759491,1e-05,0.8039864897727966,0.5264899134635925
14,0.8614782094955444,0.35862985253334045,1e-05,0.8413509130477905,0.40054312348365784
15,0.8716380000114441,0.336799681186676,1e-05,0.8426538705825806,0.4118489623069763
16,0.8841308355331421,0.3122634291648865,1e-05,0.7552472352981567,0.5286821126937866
17,0.8987894654273987,0.28270119428634644,1e-05,0.8234610557556152,0.4461725354194641
18,0.9350706338882446,0.20330066978931427,5e-06,0.8334624767303467,0.7742794156074524
19,0.9531452059745789,0.1619725525379181,5e-06,0.6627693772315979,1.1751130819320679
20,0.9636836051940918,0.1360306590795517,5e-06,0.578109622001648,2.14735746383667
21,0.9807985424995422,0.09337154775857925,2.5e-06,0.8149034976959229,0.8005280494689941
22,0.9863802194595337,0.07755687832832336,2.5e-06,0.8246583938598633,0.8721117377281189
23,0.988660454750061,0.06954897195100784,2.5e-06,0.8323355317115784,0.811521053314209
24,0.9939604997634888,0.05504152178764343,1.25e-06,0.789054811000824,0.9858019948005676
