epoch,categorical_accuracy,loss,lr,val_categorical_accuracy,val_loss
0,0.6993151307106018,0.9302161931991577,1e-05,0.41019266843795776,1.5834146738052368
1,0.7724485993385315,0.7569530010223389,1e-05,0.661662757396698,1.0958572626113892
2,0.7914281487464905,0.7077174782752991,1e-05,0.6749534010887146,1.1644173860549927
3,0.8014916181564331,0.6804572939872742,1e-05,0.6510971784591675,1.3932234048843384
4,0.8091049194335938,0.6604734659194946,1e-05,0.6569775938987732,1.1298106908798218
5,0.8209013938903809,0.6243810057640076,5e-06,0.6877181529998779,1.106738567352295
6,0.8269968628883362,0.6075048446655273,5e-06,0.6885786652565002,1.2450710535049438
7,0.8323273658752441,0.5935136079788208,5e-06,0.6862838864326477,1.163176417350769
8,0.8443270325660706,0.565533459186554,2.5e-06,0.6761963963508606,1.2298904657363892
9,0.8477811217308044,0.5531472563743591,2.5e-06,0.6858536005020142,1.1983935832977295
10,0.8539124131202698,0.5387078523635864,2.5e-06,0.6802122592926025,1.222886562347412
11,0.8638922572135925,0.5173622965812683,1.25e-06,0.6809293627738953,1.2978752851486206
