epoch,categorical_accuracy,loss,lr,val_categorical_accuracy,val_loss
0,0.7272686958312988,20.740070343017578,2e-06,0.7871822118759155,18.605247497558594
1,0.76626056432724,16.801061630249023,2e-06,0.8049435019493103,14.98344898223877
2,0.7805526256561279,13.43637752532959,2e-06,0.8274717330932617,11.873075485229492
3,0.7933350801467896,10.581324577331543,2e-06,0.8138418197631836,9.307120323181152
4,0.8013241291046143,8.214312553405762,2e-06,0.7298375964164734,7.269411563873291
5,0.808474600315094,6.283994674682617,2e-06,0.8440324664115906,5.420995712280273
6,0.8141066431999207,4.758204460144043,2e-06,0.8132768273353577,4.116527557373047
7,0.8200564980506897,3.577030658721924,2e-06,0.8376412391662598,3.0709314346313477
8,0.8271980881690979,2.690528631210327,2e-06,0.825600266456604,2.338390827178955
9,0.8299258351325989,2.0464351177215576,2e-06,0.8342514038085938,1.7996723651885986
10,0.8364671468734741,1.5909920930862427,2e-06,0.8311440944671631,1.4471853971481323
11,0.841392993927002,1.278195858001709,2e-06,0.798340380191803,1.227099895477295
12,0.847740113735199,1.0611761808395386,2e-06,0.786935031414032,1.0762567520141602
13,0.8524540662765503,0.9061840772628784,2e-06,0.7740113139152527,0.9642457365989685
14,0.8580067157745361,0.7875189781188965,2e-06,0.8315324783325195,0.8258463740348816
15,0.8652542233467102,0.689661979675293,2e-06,0.8311440944671631,0.7358916401863098
16,0.8732609748840332,0.6083250641822815,2e-06,0.7095692157745361,0.8506083488464355
17,0.8807291388511658,0.5401126742362976,2e-06,0.8248234391212463,0.6496170163154602
18,0.8880826234817505,0.48199939727783203,2e-06,0.801730215549469,0.6314491033554077
19,0.8966190218925476,0.428693950176239,2e-06,0.8251059055328369,0.6543847918510437
20,0.9054908156394958,0.3837088346481323,2e-06,0.7688559293746948,0.631013810634613
21,0.9129678606987,0.3421040177345276,2e-06,0.8206214904785156,0.5941584706306458
22,0.9215571880340576,0.30461981892585754,2e-06,0.7005296349525452,0.8011921048164368
23,0.92905193567276,0.27155065536499023,2e-06,0.7645833492279053,0.6651425957679749
24,0.935372531414032,0.242486372590065,2e-06,0.8092160820960999,0.6485792398452759
25,0.9556320905685425,0.19394251704216003,1e-06,0.794950544834137,0.691918671131134
26,0.9612376689910889,0.1739823818206787,1e-06,0.7602754235267639,0.7840225696563721
27,0.9659251570701599,0.15631073713302612,1e-06,0.701694905757904,1.0074644088745117
28,0.9753354787826538,0.13383761048316956,5e-07,0.7568149566650391,0.8521397709846497
29,0.9782838821411133,0.12383256107568741,5e-07,0.8015536665916443,0.8410017490386963
30,0.9814088940620422,0.11418863385915756,5e-07,0.7492938041687012,0.9285237193107605
