epoch,categorical_accuracy,loss,lr,val_categorical_accuracy,val_loss
0,0.7506383061408997,0.7310694456100464,0.001,0.7952218651771545,0.8921197652816772
1,0.7812765836715698,0.6273089051246643,0.001,0.20477814972400665,2.139058828353882
2,0.7812765836715698,0.6222596168518066,0.001,0.20477814972400665,1.5399190187454224
3,0.7804255485534668,0.6326496601104736,0.001,0.7952218651771545,0.6979131698608398
4,0.7770212888717651,0.5948634147644043,0.001,0.723549485206604,0.7217953205108643
5,0.8417021036148071,0.48919928073883057,0.001,0.723549485206604,0.6928749084472656
6,0.8476595878601074,0.43721047043800354,0.001,0.7952218651771545,1.857495665550232
7,0.8587234020233154,0.40852540731430054,0.001,0.20477814972400665,5.411514759063721
8,0.8723404407501221,0.39181503653526306,0.001,0.7952218651771545,1.672071933746338
9,0.8817021250724792,0.3487558662891388,0.0005,0.8430033922195435,0.40167781710624695
10,0.8782978653907776,0.351102739572525,0.0005,0.24914675951004028,2.633247137069702
11,0.8834042549133301,0.34756743907928467,0.0005,0.6825938820838928,0.7100881934165955
12,0.8817021250724792,0.3349161744117737,0.0005,0.8054607510566711,1.2406741380691528
13,0.9063829779624939,0.3068755269050598,0.00025,0.7713310718536377,0.5409156680107117
14,0.8978723287582397,0.3152776062488556,0.00025,0.8122866749763489,0.6408745646476746
15,0.8953191637992859,0.29471421241760254,0.00025,0.8805460929870605,0.3205295503139496
16,0.8995744585990906,0.2971124053001404,0.00025,0.8634812235832214,0.37634944915771484
17,0.8927659392356873,0.29878875613212585,0.00025,0.8156996369361877,0.7872641086578369
18,0.9021276831626892,0.2838797867298126,0.00025,0.8191125988960266,0.6678273677825928
19,0.8970212936401367,0.2910446226596832,0.000125,0.8600682616233826,0.42135295271873474
20,0.9029787182807922,0.2673923969268799,0.000125,0.8259385824203491,0.6615557074546814
21,0.9004255533218384,0.2830452024936676,0.000125,0.873720109462738,0.3759970963001251
22,0.9063829779624939,0.26105251908302307,6.25e-05,0.7508532404899597,0.5389987230300903
23,0.9140425324440002,0.2629779279232025,6.25e-05,0.849829375743866,0.4408246576786041
24,0.9191489219665527,0.25568675994873047,6.25e-05,0.8771331310272217,0.36996573209762573
25,0.9089361429214478,0.2649071514606476,3.125e-05,0.8532423377037048,0.3746379315853119
